INSEE_COM,LIBGEO,DENS,LIBDENS,PMUN21,P1,P2,P3,P4,P5,P6,P7,zone_type
01001,L'Abergement-Clémenciat,6,Rural à habitat dispersé,832,0.0,0.0,0.0,0.0,0.0,78.6,21.4,Rural
01002,L'Abergement-de-Varey,6,Rural à habitat dispersé,267,0.0,0.0,0.0,0.0,0.0,88.08,11.92,Rural
01004,Ambérieu-en-Bugey,2,Centres urbains intermédiaires,14854,0.0,70.85,0.0,24.85,0.0,3.54,0.75,Urbain
01005,Ambérieux-en-Dombes,5,Bourgs ruraux,1897,0.0,0.0,0.0,0.0,83.08,9.42,7.5,Rural
01006,Ambléon,6,Rural à habitat dispersé,113,0.0,0.0,0.0,0.0,0.0,100.0,0.0,Rural
01007,Ambronay,6,Rural à habitat dispersé,2833,0.0,0.0,0.0,0.0,45.11,49.01,5.88,Rural
01008,Ambutrix,4,Ceintures urbaines,768,0.0,0.0,0.0,81.29,0.0,18.71,0.0,Urbain
01009,Andert-et-Condon,6,Rural à habitat dispersé,322,0.0,0.0,0.0,0.0,0.0,61.14,38.86,Rural
01010,Anglefort,5,Bourgs ruraux,1125,0.0,0.0,0.0,0.0,49.07,46.76,4.17,Rural
01011,Apremont,6,Rural à habitat dispersé,383,0.0,0.0,0.0,0.0,0.0,83.49,16.51,Rural
01012,Aranc,6,Rural à habitat dispersé,327,0.0,0.0,0.0,0.0,0.0,51.93,48.07,Rural
01013,Arandas,7,Rural à habitat très dispersé,141,0.0,0.0,0.0,0.0,0.0,44.73,55.27,Rural
01014,Arbent,4,Ceintures urbaines,3409,0.0,7.08,0.0,83.2,0.0,8.53,1.19,Urbain
01015,Arboys en Bugey,6,Rural à habitat dispersé,667,0.0,0.0,0.0,0.0,0.0,86.9,13.1,Rural
01016,Arbigny,6,Rural à habitat dispersé,459,0.0,0.0,0.0,0.0,0.0,90.15,9.85,Rural
01017,Argis,6,Rural à habitat dispersé,432,0.0,0.0,0.0,0.0,0.0,79.36,20.64,Rural
01019,Armix,7,Rural à habitat très dispersé,26,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Rural
01021,Ars-sur-Formans,5,Bourgs ruraux,1498,0.0,0.0,0.0,0.0,79.55,18.15,2.31,Rural
01022,Artemare,5,Bourgs ruraux,1177,0.0,0.0,0.0,0.0,81.89,17.46,0.65,Rural
01023,Asnières-sur-Saône,6,Rural à habitat dispersé,77,0.0,0.0,0.0,0.0,0.0,95.06,4.94,Rural
01024,Attignat,5,Bourgs ruraux,3336,0.0,0.0,0.0,0.0,52.43,42.7,4.87,Rural
01025,Bâgé-Dommartin,6,Rural à habitat dispersé,4065,0.0,0.0,0.0,0.0,27.21,58.44,14.35,Rural
01026,Bâgé-le-Châtel,5,Bourgs ruraux,979,0.0,0.0,0.0,0.0,97.02,2.98,0.0,Rural
01027,Balan,5,Bourgs ruraux,2692,0.0,0.0,0.0,0.0,63.77,31.01,5.23,Rural
01028,Baneins,6,Rural à habitat dispersé,621,0.0,0.0,0.0,0.0,0.0,74.68,25.32,Rural
01029,Beaupont,6,Rural à habitat dispersé,700,0.0,0.0,0.0,0.0,0.0,67.32,32.68,Rural
01030,Beauregard,4,Ceintures urbaines,830,0.0,0.0,0.0,89.25,0.0,10.75,0.0,Urbain
01031,Bellignat,2,Centres urbains intermédiaires,3636,0.0,64.29,0.0,34.08,0.0,1.62,0.0,Urbain
01032,Béligneux,5,Bourgs ruraux,3434,0.0,0.0,0.0,0.0,86.88,11.94,1.18,Rural
01033,Valserhône,2,Centres urbains intermédiaires,16295,0.0,55.3,0.0,17.74,14.12,11.99,0.85,Urbain
01034,Belley,3,Petites villes,9239,0.0,0.0,82.95,0.0,0.0,15.99,1.06,Mixte
01035,Belleydoux,6,Rural à habitat dispersé,306,0.0,0.0,0.0,0.0,0.0,70.11,29.89,Rural
01036,Valromey-sur-Séran,6,Rural à habitat dispersé,1342,0.0,0.0,0.0,0.0,0.0,66.68,33.32,Rural
01037,Bénonces,6,Rural à habitat dispersé,310,0.0,0.0,0.0,0.0,0.0,94.79,5.21,Rural
01038,Bény,6,Rural à habitat dispersé,764,0.0,0.0,0.0,0.0,0.0,63.52,36.48,Rural
01040,Béréziat,6,Rural à habitat dispersé,480,0.0,0.0,0.0,0.0,0.0,85.29,14.71,Rural
01041,Bettant,4,Ceintures urbaines,749,0.0,0.0,0.0,97.78,0.0,0.0,2.22,Urbain
01042,Bey,6,Rural à habitat dispersé,290,0.0,0.0,0.0,0.0,0.0,89.02,10.98,Rural
01043,Beynost,2,Centres urbains intermédiaires,4877,0.0,54.72,0.0,40.04,0.0,4.87,0.37,Urbain
01044,Billiat,6,Rural à habitat dispersé,626,0.0,0.0,0.0,0.0,0.0,81.05,18.95,Rural
01045,Birieux,6,Rural à habitat dispersé,284,0.0,0.0,0.0,0.0,0.0,58.21,41.79,Rural
01046,Biziat,6,Rural à habitat dispersé,904,0.0,0.0,0.0,0.0,0.0,95.02,4.98,Rural
01047,Blyes,6,Rural à habitat dispersé,1292,0.0,0.0,0.0,0.0,49.79,50.02,0.19,Rural
01049,La Boisse,4,Ceintures urbaines,3361,0.0,0.93,0.0,97.27,0.0,0.08,1.73,Urbain
01050,Boissey,6,Rural à habitat dispersé,386,0.0,0.0,0.0,0.0,0.0,73.09,26.91,Rural
01051,Bolozon,7,Rural à habitat très dispersé,95,0.0,0.0,0.0,0.0,0.0,31.18,68.82,Rural
01052,Bouligneux,7,Rural à habitat très dispersé,327,0.0,0.0,0.0,0.0,36.74,0.0,63.26,Rural
01053,Bourg-en-Bresse,2,Centres urbains intermédiaires,41525,0.0,86.92,0.0,9.92,1.82,1.17,0.18,Urbain
01054,Bourg-Saint-Christophe,5,Bourgs ruraux,1517,0.0,0.0,0.0,0.0,61.8,36.53,1.68,Rural
01056,Boyeux-Saint-Jérôme,6,Rural à habitat dispersé,356,0.0,0.0,0.0,0.0,0.0,72.39,27.61,Rural
01057,Boz,6,Rural à habitat dispersé,510,0.0,0.0,0.0,0.0,0.0,92.16,7.84,Rural
01058,Brégnier-Cordon,6,Rural à habitat dispersé,818,0.0,0.0,0.0,0.0,0.0,87.35,12.65,Rural
01060,Brénod,6,Rural à habitat dispersé,518,0.0,0.0,0.0,0.0,0.0,87.49,12.51,Rural
01061,Brens,6,Rural à habitat dispersé,1129,0.0,0.0,0.0,0.0,25.78,68.77,5.45,Rural
01062,Bressolles,4,Ceintures urbaines,978,0.0,0.0,0.0,54.75,0.0,43.58,1.66,Urbain
01063,Brion,3,Petites villes,576,0.0,0.0,71.56,0.0,0.0,20.68,7.76,Mixte
01064,Briord,6,Rural à habitat dispersé,1099,0.0,0.0,0.0,0.0,0.0,97.21,2.79,Rural
01065,Buellas,5,Bourgs ruraux,1851,0.0,0.0,0.0,0.0,57.9,40.7,1.4,Rural
01066,La Burbanche,7,Rural à habitat très dispersé,95,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Rural
01067,Ceignes,6,Rural à habitat dispersé,261,0.0,0.0,0.0,0.0,0.0,69.92,30.08,Rural
01068,Cerdon,6,Rural à habitat dispersé,761,0.0,0.0,0.0,0.0,0.0,85.89,14.11,Rural
01069,Certines,5,Bourgs ruraux,1505,0.0,0.0,0.0,0.0,50.39,47.55,2.07,Rural
01071,Cessy,4,Ceintures urbaines,5307,0.0,13.64,0.0,73.94,0.0,12.42,0.0,Urbain
01072,Ceyzériat,5,Bourgs ruraux,3285,0.0,0.0,0.0,0.0,90.56,7.63,1.81,Rural
01073,Ceyzérieu,6,Rural à habitat dispersé,992,0.0,0.0,0.0,0.0,0.0,87.36,12.64,Rural
01074,Chalamont,5,Bourgs ruraux,2559,0.0,0.0,0.0,0.0,64.08,26.1,9.83,Rural
01075,Chaleins,5,Bourgs ruraux,1430,0.0,0.0,0.0,0.0,49.63,33.9,16.47,Rural
01076,Chaley,6,Rural à habitat dispersé,124,0.0,0.0,0.0,0.0,0.0,89.44,10.56,Rural
01077,Challes-la-Montagne,6,Rural à habitat dispersé,189,0.0,0.0,0.0,0.0,0.0,59.1,40.9,Rural
01078,Challex,3,Petites villes,1619,0.0,0.0,93.59,0.0,0.0,2.28,4.13,Mixte
01079,Champagne-en-Valromey,6,Rural à habitat dispersé,826,0.0,0.0,0.0,0.0,0.0,69.12,30.88,Rural
01080,Champdor-Corcelles,6,Rural à habitat dispersé,645,0.0,0.0,0.0,0.0,0.0,89.51,10.49,Rural
01081,Champfromier,6,Rural à habitat dispersé,718,0.0,0.0,0.0,0.0,0.0,89.78,10.22,Rural
01082,Chanay,6,Rural à habitat dispersé,616,0.0,0.0,0.0,0.0,0.0,88.61,11.39,Rural
01083,Chaneins,6,Rural à habitat dispersé,1003,0.0,0.0,0.0,0.0,0.0,79.35,20.65,Rural
01084,Chanoz-Châtenay,6,Rural à habitat dispersé,931,0.0,0.0,0.0,0.0,0.0,70.13,29.87,Rural
01085,La Chapelle-du-Châtelard,6,Rural à habitat dispersé,394,0.0,0.0,0.0,0.0,0.0,64.44,35.56,Rural
01087,Charix,6,Rural à habitat dispersé,279,0.0,0.0,0.0,0.0,0.0,67.56,32.44,Rural
01088,Charnoz-sur-Ain,5,Bourgs ruraux,898,0.0,0.0,0.0,0.0,64.96,29.33,5.71,Rural
