INSEE_COM,annee,nb_creations
01001,2018,7.0
01002,2018,3.0
01004,2018,137.0
01005,2018,17.0
01006,2018,2.0
01007,2018,19.0
01008,2018,11.0
01009,2018,2.0
01010,2018,5.0
01011,2018,3.0
01012,2018,6.0
01013,2018,2.0
01014,2018,23.0
01015,2018,4.0
01016,2018,3.0
01017,2018,3.0
01019,2018,0.0
01021,2018,17.0
01022,2018,5.0
01023,2018,0.0
01024,2018,33.0
01025,2018,25.0
01026,2018,8.0
01027,2018,18.0
01028,2018,2.0
01029,2018,9.0
01030,2018,13.0
01031,2018,30.0
01032,2018,44.0
01033,2018,118.0
01034,2018,89.0
01035,2018,3.0
01036,2018,10.0
01037,2018,2.0
01038,2018,8.0
01040,2018,4.0
01041,2018,2.0
01042,2018,0.0
01043,2018,58.0
01044,2018,7.0
01045,2018,3.0
01046,2018,10.0
01047,2018,16.0
01049,2018,42.0
01050,2018,1.0
01051,2018,3.0
01052,2018,2.0
01053,2018,385.0
01054,2018,18.0
01056,2018,4.0
01057,2018,2.0
01058,2018,11.0
01060,2018,3.0
01061,2018,6.0
01062,2018,3.0
01063,2018,1.0
01064,2018,13.0
01065,2018,16.0
01066,2018,0.0
01067,2018,0.0
01068,2018,11.0
01069,2018,11.0
01071,2018,45.0
01072,2018,25.0
01073,2018,4.0
01074,2018,20.0
01075,2018,17.0
01076,2018,0.0
01077,2018,1.0
01078,2018,4.0
01079,2018,10.0
01080,2018,2.0
01081,2018,7.0
01082,2018,7.0
01083,2018,19.0
01084,2018,6.0
01085,2018,2.0
01087,2018,1.0
01088,2018,6.0
01089,2018,32.0
01090,2018,3.0
01092,2018,19.0
01093,2018,66.0
01094,2018,5.0
01095,2018,4.0
01096,2018,6.0
01098,2018,9.0
01099,2018,17.0
01100,2018,0.0
01101,2018,0.0
01102,2018,8.0
01103,2018,16.0
01104,2018,7.0
01105,2018,25.0
01106,2018,1.0
01107,2018,1.0
01108,2018,4.0
01109,2018,21.0
01110,2018,0.0
01111,2018,2.0
01112,2018,4.0
01113,2018,4.0
01114,2018,2.0
01115,2018,12.0
01116,2018,5.0
01117,2018,1.0
01118,2018,8.0
01121,2018,1.0
01123,2018,8.0
01124,2018,11.0
01125,2018,4.0
01127,2018,6.0
01128,2018,1.0
01129,2018,2.0
01130,2018,13.0
01133,2018,5.0
01134,2018,12.0
01135,2018,19.0
01136,2018,5.0
01138,2018,19.0
01139,2018,2.0
01140,2018,5.0
01141,2018,3.0
01142,2018,51.0
01143,2018,88.0
01145,2018,7.0
01146,2018,1.0
01147,2018,5.0
01148,2018,7.0
01149,2018,6.0
01150,2018,1.0
01151,2018,11.0
01152,2018,5.0
01153,2018,20.0
01155,2018,2.0
01156,2018,10.0
01157,2018,27.0
01158,2018,8.0
01159,2018,24.0
01160,2018,94.0
01162,2018,1.0
01163,2018,13.0
01165,2018,12.0
01166,2018,23.0
01167,2018,3.0
01169,2018,6.0
01170,2018,8.0
01171,2018,8.0
01173,2018,85.0
01174,2018,1.0
01175,2018,5.0
01177,2018,0.0
01179,2018,18.0
01180,2018,15.0
01181,2018,12.0
01183,2018,22.0
01184,2018,4.0
01185,2018,48.0
01187,2018,11.0
01188,2018,12.0
01189,2018,9.0
01190,2018,0.0
01191,2018,0.0
01192,2018,22.0
01193,2018,3.0
01194,2018,64.0
01195,2018,17.0
01196,2018,10.0
01197,2018,4.0
01198,2018,4.0
01199,2018,21.0
01200,2018,4.0
01202,2018,63.0
01203,2018,6.0
01204,2018,8.0
01206,2018,1.0
01207,2018,2.0
01208,2018,0.0
01209,2018,5.0
01210,2018,8.0
01211,2018,5.0
01212,2018,6.0
01213,2018,6.0
01214,2018,4.0
01215,2018,0.0
01216,2018,5.0
01219,2018,1.0
01224,2018,34.0
01225,2018,3.0
01227,2018,7.0
01228,2018,12.0
01229,2018,13.0
01230,2018,1.0
01231,2018,15.0
01232,2018,25.0
01233,2018,2.0
01234,2018,0.0
01235,2018,5.0
01236,2018,7.0
01237,2018,11.0
01238,2018,36.0
01239,2018,5.0
01240,2018,5.0
01241,2018,9.0
01242,2018,0.0
01243,2018,7.0
01244,2018,80.0
01245,2018,8.0
01246,2018,16.0
01247,2018,4.0
01248,2018,17.0
01249,2018,135.0
01250,2018,10.0
01252,2018,7.0
01254,2018,19.0
01255,2018,4.0
01257,2018,0.0
01258,2018,5.0
01259,2018,4.0
01260,2018,1.0
01261,2018,6.0
01262,2018,72.0
01263,2018,24.0
01264,2018,7.0
01265,2018,26.0
01266,2018,23.0
01267,2018,3.0
01268,2018,2.0
01269,2018,25.0
01272,2018,18.0
01273,2018,7.0
01274,2018,4.0
01275,2018,45.0
01276,2018,17.0
01277,2018,0.0
01279,2018,1.0
01280,2018,0.0
01281,2018,35.0
01282,2018,2.0
01283,2018,190.0
01284,2018,6.0
01285,2018,13.0
01286,2018,9.0
01288,2018,19.0
01289,2018,47.0
01290,2018,16.0
01291,2018,5.0
01293,2018,0.0
01294,2018,5.0
01295,2018,5.0
01296,2018,2.0
01297,2018,10.0
01298,2018,1.0
01299,2018,10.0
01301,2018,26.0
01302,2018,0.0
01303,2018,10.0
01304,2018,23.0
01305,2018,18.0
01306,2018,4.0
01307,2018,6.0
01308,2018,5.0
01309,2018,0.0
01310,2018,0.0
01311,2018,2.0
01313,2018,70.0
01314,2018,14.0
01317,2018,4.0
01318,2018,10.0
01319,2018,4.0
01320,2018,30.0
01321,2018,10.0
01322,2018,55.0
01323,2018,11.0
01325,2018,5.0
01328,2018,2.0
01329,2018,2.0
01330,2018,3.0
01331,2018,7.0
01332,2018,6.0
01333,2018,42.0
01334,2018,8.0
01335,2018,1.0
01336,2018,11.0
01337,2018,9.0
01338,2018,12.0
01339,2018,19.0
01342,2018,8.0
01343,2018,20.0
01344,2018,47.0
01345,2018,15.0
01346,2018,7.0
01347,2018,28.0
01348,2018,18.0
01349,2018,4.0
01350,2018,21.0
01351,2018,19.0
01352,2018,3.0
01353,2018,13.0
01354,2018,110.0
01355,2018,1.0
01356,2018,6.0
01357,2018,1.0
01358,2018,5.0
01359,2018,2.0
01360,2018,15.0
01361,2018,14.0
01362,2018,9.0
01363,2018,20.0
01364,2018,4.0
01365,2018,12.0
01366,2018,9.0
01367,2018,4.0
01368,2018,10.0
01369,2018,6.0
01370,2018,16.0
01371,2018,6.0
01372,2018,5.0
01373,2018,9.0
01374,2018,13.0
01375,2018,2.0
01376,2018,39.0
01378,2018,20.0
01379,2018,8.0
01380,2018,5.0
01381,2018,15.0
01382,2018,2.0
01383,2018,8.0
01384,2018,18.0
01385,2018,4.0
01386,2018,11.0
01387,2018,2.0
01388,2018,7.0
01389,2018,20.0
01390,2018,15.0
01391,2018,1.0
01392,2018,3.0
01393,2018,5.0
01396,2018,8.0
01397,2018,1.0
01398,2018,19.0
01399,2018,18.0
01400,2018,1.0
01401,2018,19.0
01402,2018,2.0
01403,2018,19.0
01404,2018,0.0
01405,2018,7.0
01406,2018,1.0
01407,2018,17.0
01408,2018,8.0
01410,2018,2.0
01411,2018,1.0
01412,2018,6.0
01415,2018,6.0
01416,2018,5.0
01418,2018,17.0
01419,2018,50.0
01420,2018,10.0
01421,2018,1.0
01422,2018,10.0
