INSEE_COM,Fibre_it,annee
53208,1,2022
53206,0,2022
53203,1,2022
53204,1,2022
16289,1,2022
16286,1,2022
53276,1,2022
16287,0,2022
16284,0,2022
16285,1,2022
16282,1,2022
80829,0,2022
53272,1,2022
16283,1,2022
53273,1,2022
16291,1,2022
53270,1,2022
16292,1,2022
53271,1,2022
41228,1,2022
80836,1,2022
41229,1,2022
16290,1,2022
41226,1,2022
80834,1,2022
65219,0,2022
80835,0,2022
41224,0,2022
80832,1,2022
65217,1,2022
41225,1,2022
80833,1,2022
65218,0,2022
28259,1,2022
80830,0,2022
65215,0,2022
28256,1,2022
65216,0,2022
41297,0,2022
28257,1,2022
65202,0,2022
28254,1,2022
65203,0,2022
41295,1,2022
28255,1,2022
65200,0,2022
41296,0,2022
28252,1,2022
65201,1,2022
41293,1,2022
28253,1,2022
41294,1,2022
41291,1,2022
28251,1,2022
41292,0,2022
28260,1,2022
41290,0,2022
16279,1,2022
16277,1,2022
53267,1,2022
16275,1,2022
53265,1,2022
16276,0,2022
53266,1,2022
16273,1,2022
53263,1,2022
53264,0,2022
16271,0,2022
53261,1,2022
16272,1,2022
80819,0,2022
53262,1,2022
16280,1,2022
80827,1,2022
16281,1,2022
80828,0,2022
53260,1,2022
80825,0,2022
80826,1,2022
80823,0,2022
65208,0,2022
80824,0,2022
65209,1,2022
80821,1,2022
65206,1,2022
80822,0,2022
65207,0,2022
41288,1,2022
65204,1,2022
41289,1,2022
80820,1,2022
65205,0,2022
41286,0,2022
41287,1,2022
41284,0,2022
41285,0,2022
41282,0,2022
41283,0,2022
41280,1,2022
41281,0,2022
53269,1,2022
53256,1,2022
53257,1,2022
53255,1,2022
80809,0,2022
53253,1,2022
80807,0,2022
53250,1,2022
80808,0,2022
53251,1,2022
80814,0,2022
80815,0,2022
80812,0,2022
80813,0,2022
80810,1,2022
80811,0,2022
41277,1,2022
41278,0,2022
41275,0,2022
41276,1,2022
41273,1,2022
89215,0,2022
41274,1,2022
89216,0,2022
41271,0,2022
89214,0,2022
89211,0,2022
89212,0,2022
89210,0,2022
53258,1,2022
53259,1,2022
53245,1,2022
53246,1,2022
53243,1,2022
77236,1,2022
77237,0,2022
77234,1,2022
53242,1,2022
77235,0,2022
77232,1,2022
53240,1,2022
77233,1,2022
77230,1,2022
77231,1,2022
41279,0,2022
41266,0,2022
89219,0,2022
41267,0,2022
89217,1,2022
65257,1,2022
41265,1,2022
89218,1,2022
65258,1,2022
41262,1,2022
89204,0,2022
65255,0,2022
89205,1,2022
65256,1,2022
41260,0,2022
89202,0,2022
65253,0,2022
41261,1,2022
89203,0,2022
65254,1,2022
89200,1,2022
65251,0,2022
89201,0,2022
65252,0,2022
65250,1,2022
53249,1,2022
53247,1,2022
53248,0,2022
77238,0,2022
77239,1,2022
77225,1,2022
77226,0,2022
77223,1,2022
77224,1,2022
77221,1,2022
77222,1,2022
77220,1,2022
41268,0,2022
41269,1,2022
89208,0,2022
65259,1,2022
89209,0,2022
89206,0,2022
28298,1,2022
89207,0,2022
65247,0,2022
28299,1,2022
65244,1,2022
28296,1,2022
65245,1,2022
65242,0,2022
28294,0,2022
65243,1,2022
65240,0,2022
65241,0,2022
77229,1,2022
77227,0,2022
77228,1,2022
77214,1,2022
77215,1,2022
77212,1,2022
77210,1,2022
77211,1,2022
28329,1,2022
28326,1,2022
28327,1,2022
28324,1,2022
28325,1,2022
65248,1,2022
28322,0,2022
65249,0,2022
28323,1,2022
65235,1,2022
65236,0,2022
28321,1,2022
65233,0,2022
65234,0,2022
65231,1,2022
65232,1,2022
65230,1,2022
16349,1,2022
16347,0,2022
16348,1,2022
16345,1,2022
16346,1,2022
77218,1,2022
16343,1,2022
77219,1,2022
77216,1,2022
16341,1,2022
77217,0,2022
16342,1,2022
77203,1,2022
77204,0,2022
16340,1,2022
77201,1,2022
77202,0,2022
77200,1,2022
28319,0,2022
28317,1,2022
28315,1,2022
28316,0,2022
