INSEE_COM,Fibre_it,annee
72118,1,2023
44069,1,2023
44117,0,2023
72138,1,2023
53079,1,2023
49188,1,2023
85049,1,2023
72325,1,2023
44163,0,2023
85130,1,2023
72104,1,2023
49216,0,2023
53048,1,2023
72224,1,2023
72041,1,2023
53179,0,2023
44139,0,2023
44195,1,2023
85164,1,2023
72215,1,2023
53187,1,2023
72017,1,2023
85244,1,2023
72255,1,2023
53168,1,2023
53037,1,2023
72308,0,2023
72109,1,2023
85036,1,2023
53161,1,2023
72106,1,2023
49299,1,2023
49020,1,2023
53172,1,2023
49017,1,2023
44174,0,2023
72163,1,2023
72150,1,2023
72247,1,2023
44084,1,2023
44145,1,2023
72324,1,2023
53139,1,2023
53133,1,2023
44102,0,2023
85097,1,2023
72147,1,2023
53147,1,2023
85271,1,2023
49284,0,2023
72317,1,2023
85292,1,2023
85094,0,2023
85192,1,2023
53103,1,2023
53058,1,2023
44218,1,2023
72299,1,2023
53093,1,2023
72139,1,2023
72025,1,2023
85090,1,2023
44067,1,2023
72213,1,2023
85238,1,2023
53035,1,2023
72009,1,2023
72360,1,2023
53109,1,2023
49089,1,2023
49055,1,2023
53046,0,2023
72011,1,2023
53057,1,2023
53213,1,2023
49076,1,2023
85087,0,2023
49120,1,2023
44155,0,2023
85305,1,2023
85291,0,2023
72373,1,2023
72259,1,2023
53120,1,2023
72204,1,2023
72376,1,2023
53047,1,2023
44044,0,2023
53226,1,2023
85285,0,2023
49353,1,2023
49114,1,2023
85025,1,2023
85232,1,2023
49292,1,2023
85269,0,2023
44176,1,2023
72316,1,2023
44083,0,2023
72171,1,2023
72271,1,2023
72155,1,2023
53182,1,2023
85139,1,2023
44209,1,2023
72380,1,2023
44047,1,2023
53176,1,2023
53074,1,2023
53202,1,2023
72087,1,2023
72180,1,2023
85252,1,2023
44073,0,2023
44205,1,2023
49193,1,2023
72282,1,2023
72202,1,2023
49135,0,2023
44092,0,2023
85081,0,2023
44172,1,2023
72243,1,2023
53088,1,2023
72167,1,2023
49308,1,2023
85286,1,2023
85004,1,2023
49082,1,2023
53030,1,2023
53090,1,2023
44123,1,2023
