"INSEE_COM","Fibre_it","annee"
"01001",0,2018
"01001",0,2019
"01001",0,2020
"01001",0,2021
"01001",0,2022
"01001",0,2023
"01001",1,2024
"01002",1,2018
"01002",1,2019
"01002",1,2020
"01002",1,2021
"01002",1,2022
"01002",1,2023
"01002",1,2024
"01004",0,2018
"01004",1,2019
"01004",1,2020
"01004",1,2021
"01004",1,2022
"01004",1,2023
"01004",1,2024
"01005",0,2018
"01005",1,2019
"01005",1,2020
"01005",1,2021
"01005",1,2022
"01005",1,2023
"01005",1,2024
"01006",1,2018
"01006",1,2019
"01006",1,2020
"01006",1,2021
"01006",1,2022
"01006",1,2023
"01006",1,2024
"01007",1,2018
"01007",1,2019
"01007",1,2020
"01007",1,2021
"01007",1,2022
"01007",1,2023
"01007",1,2024
"01008",1,2018
"01008",1,2019
"01008",1,2020
"01008",1,2021
"01008",1,2022
"01008",1,2023
"01008",1,2024
"01009",1,2018
"01009",1,2019
"01009",1,2020
"01009",1,2021
"01009",1,2022
"01009",1,2023
"01009",1,2024
"01010",1,2018
"01010",1,2019
"01010",1,2020
"01010",1,2021
"01010",1,2022
"01010",1,2023
"01010",1,2024
"01011",0,2018
"01011",1,2019
"01011",1,2020
"01011",1,2021
"01011",1,2022
"01011",1,2023
"01011",1,2024
"01012",0,2018
"01012",0,2019
"01012",0,2020
"01012",0,2021
"01012",1,2022
"01012",1,2023
"01012",1,2024
"01013",0,2018
"01013",0,2019
"01013",0,2020
"01013",0,2021
"01013",1,2022
"01013",1,2023
"01013",1,2024
"01014",1,2018
"01014",1,2019
"01014",1,2020
"01014",1,2021
"01014",1,2022
"01014",1,2023
"01014",1,2024
"01015",1,2018
"01015",1,2019
"01015",1,2020
"01015",1,2021
"01015",1,2022
"01015",1,2023
"01015",1,2024
"01016",1,2018
"01016",1,2019
"01016",1,2020
"01016",1,2021
"01016",1,2022
"01016",1,2023
"01016",1,2024
"01017",0,2018
"01017",0,2019
"01017",0,2020
"01017",0,2021
"01017",0,2022
"01017",0,2023
"01017",1,2024
"01019",0,2018
"01019",0,2019
"01019",0,2020
"01019",0,2021
"01019",0,2022
"01019",1,2023
"01019",1,2024
"01021",0,2018
"01021",0,2019
"01021",0,2020
"01021",0,2021
"01021",0,2022
"01021",1,2023
"01021",1,2024
"01022",0,2018
"01022",0,2019
"01022",0,2020
"01022",0,2021
"01022",0,2022
"01022",0,2023
"01022",0,2024
"01023",1,2018
"01023",1,2019
"01023",1,2020
"01023",1,2021
"01023",1,2022
"01023",1,2023
"01023",1,2024
"01024",0,2018
"01024",0,2019
"01024",0,2020
"01024",0,2021
"01024",0,2022
"01024",0,2023
"01024",1,2024
"01025",0,2018
"01025",0,2019
"01025",0,2020
"01025",0,2021
"01025",0,2022
"01025",0,2023
"01025",0,2024
"01026",0,2018
"01026",0,2019
"01026",0,2020
"01026",0,2021
"01026",0,2022
"01026",0,2023
"01026",0,2024
"01027",0,2018
"01027",0,2019
"01027",0,2020
"01027",0,2021
"01027",0,2022
"01027",0,2023
"01027",0,2024
"01028",0,2018
"01028",0,2019
"01028",0,2020
"01028",0,2021
"01028",0,2022
"01028",1,2023
"01028",1,2024
"01029",0,2018
"01029",0,2019
"01029",0,2020
"01029",0,2021
"01029",0,2022
"01029",0,2023
"01029",0,2024
"01030",0,2018
"01030",0,2019
"01030",0,2020
"01030",0,2021
"01030",0,2022
"01030",0,2023
"01030",1,2024
"01031",0,2018
"01031",0,2019
"01031",0,2020
"01031",0,2021
"01031",0,2022
"01031",1,2023
"01031",1,2024
"01032",0,2018
"01032",0,2019
"01032",0,2020
"01032",0,2021
"01032",0,2022
"01032",0,2023
"01032",1,2024
"01033",0,2018
"01033",0,2019
"01033",0,2020
"01033",0,2021
"01033",0,2022
"01033",1,2023
"01033",1,2024
"01034",0,2018
"01034",0,2019
