"INSEE_COM","annee","nb_chomeurs"
"01001",2016,30
"01001",2017,40
"01002",2016,10
"01002",2017,15
"01004",2016,1370
"01004",2017,1470
"01005",2016,65
"01005",2017,80
"01006",2016,5
"01006",2017,10
"01007",2016,170
"01007",2017,175
"01008",2016,40
"01008",2017,50
"01009",2016,20
"01009",2017,20
"01010",2016,85
"01010",2017,90
"01011",2016,20
"01011",2017,20
"01012",2016,15
"01012",2017,20
"01013",2016,10
"01013",2017,10
"01014",2016,300
"01014",2017,295
"01015",2016,40
"01015",2017,45
"01016",2016,30
"01016",2017,35
"01017",2016,35
"01017",2017,30
"01019",2016,0
"01019",2017,0
"01021",2016,70
"01021",2017,65
"01022",2016,100
"01022",2017,95
"01023",2016,5
"01023",2017,10
"01024",2016,170
"01024",2017,185
"01025",2016,205
"01025",2017,210
"01026",2016,60
"01026",2017,65
"01027",2016,105
"01027",2017,120
"01028",2016,40
"01028",2017,35
"01029",2016,50
"01029",2017,50
"01030",2016,80
"01030",2017,75
"01031",2016,345
"01031",2017,370
"01032",2016,245
"01032",2017,215
"01033",2016,1595
"01033",2017,1565
"01034",2016,830
"01034",2017,855
"01035",2016,25
"01035",2017,25
"01036",2016,75
"01036",2017,70
"01037",2016,15
"01037",2017,15
"01038",2016,45
"01038",2017,40
"01040",2016,20
"01040",2017,25
"01041",2016,60
"01041",2017,55
"01042",2016,10
"01042",2017,10
"01043",2016,245
"01043",2017,240
"01044",2016,40
"01044",2017,35
"01045",2016,15
"01045",2017,10
"01046",2016,45
"01046",2017,55
"01047",2016,70
"01047",2017,70
"01049",2016,175
"01049",2017,205
"01050",2016,20
"01050",2017,25
"01051",2016,10
"01051",2017,10
"01052",2016,10
"01052",2017,15
"01053",2016,4210
"01053",2017,4315
"01054",2016,60
"01054",2017,60
"01056",2016,15
"01056",2017,15
"01057",2016,25
"01057",2017,40
"01058",2016,80
"01058",2017,70
"01060",2016,20
"01060",2017,20
"01061",2016,75
"01061",2017,75
"01062",2016,50
"01062",2017,50
"01063",2016,25
"01063",2017,20
"01064",2016,90
"01064",2017,85
"01065",2016,70
"01065",2017,90
"01066",2016,10
"01066",2017,15
"01067",2016,10
"01067",2017,10
"01068",2016,55
"01068",2017,55
"01069",2016,85
"01069",2017,90
"01071",2016,270
"01071",2017,285
"01072",2016,200
"01072",2017,215
"01073",2016,70
"01073",2017,85
"01074",2016,150
"01074",2017,175
"01075",2016,80
"01075",2017,90
"01076",2016,15
"01076",2017,10
"01077",2016,10
"01077",2017,5
"01078",2016,50
"01078",2017,60
"01079",2016,40
"01079",2017,35
"01080",2016,30
"01080",2017,30
"01081",2016,50
"01081",2017,55
"01082",2016,40
"01082",2017,40
"01083",2016,40
"01083",2017,45
"01084",2016,50
"01084",2017,45
"01085",2016,20
"01085",2017,15
"01087",2016,10
"01087",2017,10
"01088",2016,50
