INSEE_COM,annee,nb_chomeurs
46002,2018,0
46015,2018,110
46017,2018,10
46020,2018,20
46024,2018,15
46027,2018,10
46028,2018,70
46029,2018,200
46037,2018,5
46039,2018,20
46043,2018,10
46049,2018,20
46054,2018,35
46056,2018,10
46058,2018,40
46060,2018,15
46062,2018,45
46068,2018,20
46069,2018,10
46070,2018,45
46072,2018,25
46074,2018,40
46078,2018,5
46080,2018,70
46084,2018,35
46086,2018,60
46094,2018,15
46105,2018,35
46107,2018,15
46112,2018,25
46123,2018,25
46124,2018,20
46126,2018,20
46129,2018,15
46130,2018,15
46138,2018,55
46144,2018,25
46146,2018,10
46147,2018,5
46149,2018,70
46154,2018,20
46156,2018,105
46159,2018,25
46167,2018,5
46172,2018,40
46177,2018,35
46178,2018,20
46180,2018,15
46188,2018,20
46193,2018,30
46195,2018,15
46196,2018,5
46197,2018,60
46198,2018,5
46201,2018,145
46204,2018,30
46206,2018,10
46207,2018,10
46208,2018,50
46210,2018,5
46214,2018,20
46217,2018,30
46218,2018,10
46219,2018,25
46222,2018,15
46233,2018,10
46235,2018,5
46238,2018,15
46241,2018,20
46243,2018,10
46245,2018,5
46246,2018,5
46249,2018,5
46250,2018,5
46255,2018,20
46256,2018,30
46257,2018,20
46258,2018,10
46259,2018,10
46260,2018,5
46264,2018,15
46268,2018,85
46270,2018,15
46280,2018,10
46282,2018,0
46284,2018,20
46286,2018,10
46289,2018,10
46296,2018,50
46297,2018,95
46301,2018,45
46304,2018,5
46307,2018,70
46309,2018,430
46311,2018,80
46314,2018,5
46315,2018,15
46316,2018,15
46328,2018,35
46330,2018,115
46333,2018,15
46336,2018,25
46337,2018,25
46339,2018,20
47001,2018,4030
47003,2018,15
47005,2018,40
47011,2018,10
47013,2018,30
47014,2018,15
47018,2018,10
47020,2018,5
47023,2018,20
47024,2018,115
47026,2018,25
47035,2018,10
47038,2018,50
47041,2018,60
47043,2018,145
47044,2018,20
47046,2018,55
47047,2018,10
47049,2018,245
47050,2018,5
47056,2018,50
47059,2018,15
47065,2018,250
47067,2018,30
47069,2018,240
47071,2018,5
47076,2018,25
47082,2018,15
47083,2018,5
47085,2018,15
47086,2018,110
47089,2018,15
47090,2018,30
47092,2018,30
47094,2018,80
47096,2018,20
47097,2018,110
47098,2018,20
47102,2018,55
47103,2018,10
47104,2018,20
47109,2018,25
47114,2018,20
47117,2018,90
47119,2018,55
47124,2018,25
47125,2018,20
47126,2018,15
47136,2018,10
47138,2018,85
47140,2018,40
47143,2018,220
47144,2018,35
47148,2018,15
47154,2018,20
47157,2018,1830
47161,2018,5
47163,2018,35
47165,2018,120
47168,2018,300
47170,2018,50
47175,2018,170
47176,2018,10
47178,2018,35
47180,2018,35
47183,2018,15
47187,2018,25
47193,2018,10
47194,2018,15
47199,2018,25
47202,2018,25
47203,2018,200
47209,2018,265
47210,2018,275
47211,2018,20
47213,2018,65
47217,2018,70
47219,2018,15
47220,2018,20
47221,2018,45
47225,2018,135
47231,2018,10
47235,2018,35
47237,2018,30
47241,2018,45
47242,2018,55
47245,2018,5
47249,2018,50
47251,2018,20
47253,2018,60
47257,2018,50
47260,2018,30
47266,2018,10
47267,2018,30
47273,2018,15
47274,2018,30
47276,2018,20
47281,2018,15
47282,2018,5
47288,2018,35
47291,2018,60
47292,2018,45
47293,2018,25
47294,2018,10
47295,2018,20
47296,2018,10
47297,2018,5
47298,2018,25
47304,2018,5
47307,2018,5
47309,2018,40
47311,2018,15
47313,2018,5
47314,2018,25
47318,2018,95
47325,2018,50
47326,2018,100
48008,2018,10
48009,2018,120
48012,2018,10
48015,2018,20
48016,2018,30
48017,2018,85
48031,2018,5
48032,2018,15
48038,2018,20
48039,2018,60
48041,2018,5
48042,2018,25
48050,2018,45
48051,2018,45
48053,2018,15
48058,2018,0
48059,2018,5
48067,2018,5
48069,2018,5
48073,2018,10
48075,2018,70
48079,2018,5
48085,2018,5
48086,2018,10
48090,2018,35
48091,2018,5
48092,2018,330
48094,2018,55
48095,2018,805
48096,2018,50
48104,2018,20
48110,2018,0
48121,2018,15
48132,2018,55
48136,2018,10
48139,2018,5
48140,2018,210
48144,2018,35
48145,2018,10
48156,2018,50
48165,2018,10
48176,2018,5
48178,2018,20
48190,2018,15
48191,2018,5
48198,2018,45
49008,2018,65
49010,2018,25
49012,2018,30
49018,2018,980
49028,2018,20
49029,2018,110
49035,2018,450
49038,2018,15
49041,2018,255
49048,2018,220
49050,2018,800
49057,2018,20
49058,2018,60
49070,2018,50
49076,2018,55
49082,2018,70
49089,2018,70
49099,2018,5280
49100,2018,35
49102,2018,25
49112,2018,75
49113,2018,50
49114,2018,25
49123,2018,130
49127,2018,335
49135,2018,155
49180,2018,705
49193,2018,270
49195,2018,75
49205,2018,70
49215,2018,510
49217,2018,55
49219,2018,40
49223,2018,480
49228,2018,525
49237,2018,15
49240,2018,65
49247,2018,170
49261,2018,815
49267,2018,945
49283,2018,285
49292,2018,260
49294,2018,195
49298,2018,245
49299,2018,205
49302,2018,55
49308,2018,125
49328,2018,3225
49330,2018,85
49331,2018,1430
49336,2018,60
49339,2018,105
